provincia,canton,pob_total,pobres_total,pct_nbi
AZUAY,Cuenca,593830.0,117745.0,19.8
AZUAY,Girón,12173.0,4031.0,33.1
AZUAY,Gualaceo,43168.0,18381.0,42.6
AZUAY,Nabón,14758.0,10671.0,72.3
AZUAY,Paute,26721.0,8696.0,32.5
AZUAY,Pucará,9668.0,6237.0,64.5
AZUAY,San Fernando,3738.0,1171.0,31.3
AZUAY,Santa Isabel,20713.0,7756.0,37.4
AZUAY,Sígsig,24989.0,13089.0,52.4
AZUAY,Oña,3419.0,1930.0,56.4
AZUAY,Chordeleg,12104.0,3996.0,33.0
AZUAY,El Pan,2776.0,711.0,25.6
AZUAY,Sevilla de Oro,4608.0,1233.0,26.8
AZUAY,Guachapala,3582.0,1144.0,31.9
AZUAY,Camilo Ponce Enríquez,22763.0,8928.0,39.2
BOLIVAR,Guaranda,97770.0,60140.0,61.5
BOLIVAR,Chillanes,19774.0,14205.0,71.8
BOLIVAR,Chimbo,15519.0,9085.0,58.5
BOLIVAR,Echeandía,14648.0,6392.0,43.6
BOLIVAR,San Miguel,28251.0,16307.0,57.7
BOLIVAR,Caluma,15576.0,6294.0,40.4
BOLIVAR,Las Naves,6995.0,3843.0,54.9
CANAR,Azogues,74186.0,19653.0,26.5
CANAR,Biblián,18848.0,8165.0,43.3
CANAR,Cañar,52018.0,24294.0,46.7
CANAR,La Troncal,62005.0,28153.0,45.4
CANAR,El Tambo,9264.0,3209.0,34.6
CANAR,Déleg,6046.0,2627.0,43.5
CANAR,Suscal,4622.0,2842.0,61.5
CARCHI,Tulcán,91440.0,27069.0,29.6
CARCHI,Bolívar,15675.0,6329.0,40.4
CARCHI,Espejo,14521.0,5466.0,37.6
CARCHI,Mira,12699.0,5706.0,44.9
CARCHI,Montúfar,29568.0,10266.0,34.7
CARCHI,San Pedro de Huaca,7873.0,2465.0,31.3
COTOPAXI,Latacunga,212936.0,81158.0,38.1
COTOPAXI,La Maná,53763.0,24821.0,46.2
COTOPAXI,Pangua,21842.0,15078.0,69.0
COTOPAXI,Pujilí,66884.0,43168.0,64.5
COTOPAXI,Salcedo,67410.0,32915.0,48.8
COTOPAXI,Saquisilí,24345.0,13769.0,56.6
COTOPAXI,Sigchos,18419.0,15193.0,82.5
CHIMBORAZO,Riobamba,260195.0,65928.0,25.3
CHIMBORAZO,Alausí,37028.0,27458.0,74.2
CHIMBORAZO,Colta,30455.0,24750.0,81.3
CHIMBORAZO,Chambo,13399.0,4998.0,37.3
CHIMBORAZO,Chunchi,10599.0,5717.0,53.9
CHIMBORAZO,Guamote,35757.0,31657.0,88.5
CHIMBORAZO,Guano,48251.0,23848.0,49.4
CHIMBORAZO,Pallatanga,11732.0,7604.0,64.8
CHIMBORAZO,Penipe,6587.0,3235.0,49.1
CHIMBORAZO,Cumandá,16593.0,6006.0,36.2
EL ORO,Machala,304843.0,102081.0,33.5
EL ORO,Arenillas,32347.0,12843.0,39.7
EL ORO,Atahualpa,6110.0,2471.0,40.4
EL ORO,Balsas,7869.0,4056.0,51.5
EL ORO,Chilla,2251.0,1410.0,62.6
EL ORO,El Guabo,59168.0,30979.0,52.4
EL ORO,Huaquillas,56267.0,23258.0,41.3
EL ORO,Marcabelí,6859.0,1988.0,29.0
EL ORO,Pasaje,83481.0,29899.0,35.8
