provincia,pob_total,pobres_total,pct_nbi,pct_indigena,indigena
ORELLANA,181995.0,125005.0,68.7,37.3,67858.0
MORONA SANTIAGO,191813.0,125461.0,65.4,58.6,112722.0
ESMERALDAS,550425.0,346609.0,63.0,3.4,18572.0
NAPO,131082.0,80894.0,61.7,65.0,85528.0
LOS RIOS,897111.0,550670.0,61.4,0.7,5960.0
MANABI,1589104.0,955376.0,60.1,0.2,2928.0
SUCUMBIOS,197969.0,117250.0,59.2,16.3,32403.0
BOLIVAR,198533.0,116266.0,58.6,29.5,58727.0
PASTAZA,111532.0,59036.0,52.9,50.8,56887.0
ZAMORA CHINCHIPE,110440.0,55335.0,50.1,18.9,20986.0
COTOPAXI,465599.0,226102.0,48.6,23.7,111446.0
SANTA ELENA,385075.0,182017.0,47.3,1.2,4756.0
SANTO DOMINGO DE LOS TSACHILAS,491394.0,229493.0,46.7,1.4,6844.0
CHIMBORAZO,470596.0,201201.0,42.8,37.9,178754.0
LOJA,483773.0,190433.0,39.4,3.6,17293.0
CANAR,226989.0,88943.0,39.2,14.7,33472.0
GUAYAS,4376301.0,1711765.0,39.1,1.3,56546.0
EL ORO,712260.0,260570.0,36.6,0.5,3823.0
CARCHI,171776.0,57301.0,33.4,4.2,7334.0
IMBABURA,468517.0,153025.0,32.7,28.0,131592.0
TUNGURAHUA,560955.0,177035.0,31.6,13.5,76356.0
GALAPAGOS,28442.0,8929.0,31.4,9.3,2671.0
AZUAY,799010.0,205719.0,25.7,2.0,15992.0
PICHINCHA,3083707.0,489315.0,15.9,6.2,192607.0
