provincia,muertes_rurales,desplazados,pct_desplazados
ORELLANA,18,10.0,55.6
NAPO,26,13.0,50.0
MORONA SANTIAGO,64,30.0,46.9
ZAMORA CHINCHIPE,35,16.0,45.7
PASTAZA,31,14.0,45.2
EL ORO,176,76.0,43.2
SUCUMBIOS,69,29.0,42.0
ESMERALDAS,334,126.0,37.7
SANTO DOMINGO DE LOS TSACHILAS,218,69.0,31.7
AZUAY,372,117.0,31.5
COTOPAXI,146,44.0,30.1
CANAR,117,35.0,29.9
BOLIVAR,65,19.0,29.2
MANABI,888,253.0,28.5
LOJA,217,58.0,26.7
CHIMBORAZO,143,38.0,26.6
PICHINCHA,801,210.0,26.2
TUNGURAHUA,294,76.0,25.9
CARCHI,70,18.0,25.7
LOS RIOS,461,116.0,25.2
IMBABURA,178,42.0,23.6
GUAYAS,845,178.0,21.1
SANTA ELENA,478,57.0,11.9
