provincia,area_label,muertes_diabetes
AZUAY,rural,61
AZUAY,urbano,148
BOLIVAR,rural,8
BOLIVAR,urbano,34
CARCHI,rural,10
CARCHI,urbano,32
CAÑAR,rural,20
CAÑAR,urbano,61
CHIMBORAZO,rural,21
CHIMBORAZO,urbano,51
COTOPAXI,rural,17
COTOPAXI,urbano,60
EL ORO,rural,21
EL ORO,urbano,219
ESMERALDAS,rural,39
ESMERALDAS,urbano,107
GALAPAGOS,urbano,2
GUAYAS,rural,86
GUAYAS,urbano,1743
IMBABURA,rural,22
IMBABURA,urbano,68
LOJA,rural,17
LOJA,urbano,88
LOS RIOS,rural,57
LOS RIOS,urbano,304
MANABI,rural,130
MANABI,urbano,500
MORONA SANTIAGO,rural,5
MORONA SANTIAGO,urbano,17
NAPO,rural,2
NAPO,urbano,9
ORELLANA,rural,3
ORELLANA,urbano,11
PASTAZA,rural,4
PASTAZA,urbano,3
PICHINCHA,rural,119
PICHINCHA,urbano,361
SANTA ELENA,rural,53
SANTA ELENA,urbano,110
SANTO DOMINGO DE LOS TSACHILAS,rural,35
SANTO DOMINGO DE LOS TSACHILAS,urbano,123
SUCUMBIOS,rural,5
SUCUMBIOS,urbano,21
TUNGURAHUA,rural,46
TUNGURAHUA,urbano,74
ZAMORA CHINCHIPE,rural,4
ZAMORA CHINCHIPE,urbano,9
