id,ocid,year,region,amount,buyer,title,description
1612812,ocds-5wno2w-SIE-HPGL-076-2019-17082,2019,COTOPAXI,18265.200000,HOSPITAL GENERAL LATACUNGA,SIE-HPGL-076-2019-17082,"ADQUISICIÓN DE MEDICAMENTOS SEGÚN CLASIFICACIÓN ANATÓMICA TERAPÉUTICA Y QUÍMICA: B SANGRE Y ÓRGANOS FORMADORES DE LA SANGRE, G SISTEMA GENITO-URINARIO Y HORMONAS SEXUALES, H PREPARADOS HORMONALES SISTÉMICOS EXCLUYE HORMONAS SEXUALES E INSULINAS, J ANTIINFECCIOSOS PARA USO SISTÉMICO-ANTIBACTERIANOS PARA USO SISTÉMICO, M SISTEMA MÚSCULO-ESQUELÉTICO GRUPO 2 PARA EL HOSPITAL PROVINCIAL GENERAL DE LATACUNGA"
1534441,ocds-5wno2w-SIE-CECG-020-2021-2739,2021,GUAYAS,17942.420000,CENTRO DE ESPECIALIDADES CENTRAL GUAYAS,SIE-CECG-020-2021-2739,Segundo Requerimiento para la Adquisición de Fármacos 2021 por Grupo Terapéutico Grupo H Preparados Hormonales Sistémicos excluye Hormonas Sexuales e Insulinas para la Unidad de Farmacia del Centro de Especialidades Central Guayas
1545380,ocds-5wno2w-SIE-IESS-HGM-33-2021-57617,2021,GUAYAS,10222.070000,HOSPITAL GENERAL - MILAGRO,SIE-IESS-HGM-33-2021-57617,Adquisición del Sexto Pedido de Medicamentos Grupo (H) Preparados Hormonales Sistémicos Excluye Hormonas Sexuales e Insulinas. - No Adjudicados. - Acta del Comité Farmacia y Terapéutica No 004 -2021.
1808014,ocds-5wno2w-SIE-CESO-037-2021-69668,2021,PICHINCHA,33218.680000,CENTRO DE ESPECIALIDADES SUR OCCIDENTAL,SIE-CESO-037-2021-69668,ADQUISICIÓN DE MEDICAMENTOS PREPARADOS HORMONALES SISTEMICOS EXCLUYE HORMONAS SEXUALES E INSULINAS
1843170,ocds-5wno2w-SIE-IESSHGM-112-2021-2763,2021,EL ORO,20949.000000,HOSPITAL GENERAL MACHALA,SIE-IESSHGM-112-2021-2763,"ADQUISICION DE MEDICAMENTOS PERTENECIENTES AL GRUPO TERAPEUTICO H PREPARADOS HORMONALES SISTEMICOS, EXCLUYE HORMONAS SEXUALES E INSULINAS"
1891210,ocds-5wno2w-RSIE-RE-HPMI-14-2022-34305,2022,LOS RIOS,27540.000000,"HOSPITAL PROVINCIAL ""MARTIN ICAZA""",RSIE-RE-HPMI-14-2022-34305,ADQUISICION DE MEDICAMENTOS GRUPO H - PREPARADOS HORMONALES SISTÉMICOS EXCLUYE HORMONAS SEXUALES E INSULINAS Y GRUPO R - SISTEMA RESPIRATORIO PARA EL HOSPITAL PROVINCIAL MARTIN ICAZA
1933200,ocds-5wno2w-RSIE-RE-1201-17-2022-51561,2022,LOS RIOS,10463.780000,DIRECCION DISTRITAL 12D01 - BABA - BABAHOYO - MONTALVO - SALUD,RSIE-RE-1201-17-2022-51561,"ADQUISICIÓN DE MEDICAMENTOS VITALES Y ESENCIALES DEL GRUPO TERAPEUTICO H PREPARADOS HORMONALES SISTEMICOS EXCLUYE HORMONAS SEXUALES E INSULINAS, NO CATALOGADOS PARA ATENDER NECESIDADES DEL HOSPITAL BASICO BABA Y LAS UNIDADES OPERATIVAS DEL DISTRITO 12D01 BABA BABAHOYO MONTALVO SALUD MARZO AÑO 2022"
1983591,ocds-5wno2w-SIE-HMHP-036-2022-11080,2022,GUAYAS,5866.310000,HOSPITAL MATILDE HIDALGO DE PROCEL,SIE-HMHP-036-2022-11080,ADQUISICIÓN DE MEDICAMENTOS PREPARADOS HORMONALES SISTEMICOS EXCLUYE HORMONAS SEXUALES E INSULINAS (GRUPO H)
2088297,ocds-5wno2w-SIE-010-IESSJ-2022-80269,2022,MANABI,23784.650000,CENTRO CLINICO QUIRURGICO AMBULATORIO (HOSPITAL DEL DIA)-JIPIJAPA,SIE-010-IESSJ-2022-80269,ADQUISICION DEL GRUPO H PREPARADOS HORMONALES SISTEMICOS EXCLUYE HORMONAS SEXUALES E INSULINAS PARA EL CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO HOSPITAL DEL DÍA JIPIJAPA.
2130459,ocds-5wno2w-SIE-CENL-018-2022-105568,2022,SUCUMBIOS,8900.000000,CENTRO DE ESPECIALIDADES NUEVA LOJA,SIE-CENL-018-2022-105568,"ADQUISICIÓN DE LOS MEDICAMENTOS DEL GRUPO H: PREPARADOS HORMONALES SISTÉMICOS, EXCLUYE HORMONAS SEXUALES E INSULINAS PARA EL CENTRO DE ESPECIALIDADES NUEVA LOJA."
