id,ocid,year,region,amount,buyer,title,description
1324373,ocds-5wno2w-CE-20150000136651-569186,2015,,22.500000,DIRECCIÓN DISTRITAL 19D01 YACUAMBI-ZAMORA-SALUD,Orden de compra CE-20150000136651,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
1368519,ocds-5wno2w-CE-20150000199269-583950,2015,,30.400000,DIRECCION DISTRITAL 16D02-ARAJUNO-SALUD,Orden de compra CE-20150000199269,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1409462,ocds-5wno2w-CE-20150000255226-569186,2015,,45.000000,DIRECCIÓN DISTRITAL 19D01 YACUAMBI-ZAMORA-SALUD,Orden de compra CE-20150000255226,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
1409499,ocds-5wno2w-CE-20150000255263-569186,2015,,91.200000,DIRECCIÓN DISTRITAL 19D01 YACUAMBI-ZAMORA-SALUD,Orden de compra CE-20150000255263,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1471017,ocds-5wno2w-CE-20150000343995-569186,2015,,67.500000,DIRECCIÓN DISTRITAL 19D01 YACUAMBI-ZAMORA-SALUD,Orden de compra CE-20150000343995,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
1471047,ocds-5wno2w-CE-20150000344026-569186,2015,,60.800000,DIRECCIÓN DISTRITAL 19D01 YACUAMBI-ZAMORA-SALUD,Orden de compra CE-20150000344026,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
803021,ocds-5wno2w-CE-20170000765358-569186,2017,,30.400000,DIRECCIÓN DISTRITAL 19D01 YACUAMBI-ZAMORA-SALUD,Orden de compra CE-20170000765358,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
252079,ocds-5wno2w-CE-20190001501508-569186,2019,,104.130000,DIRECCIÓN DISTRITAL 19D01 YACUAMBI-ZAMORA-SALUD,Orden de compra CE-20190001501508,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
252080,ocds-5wno2w-CE-20190001501509-569186,2019,,13.350000,DIRECCIÓN DISTRITAL 19D01 YACUAMBI-ZAMORA-SALUD,Orden de compra CE-20190001501509,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
154657,ocds-5wno2w-CE-20200001861874-569186,2020,,213.600000,DIRECCIÓN DISTRITAL 19D01 YACUAMBI-ZAMORA-SALUD,Orden de compra CE-20200001861874,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
188786,ocds-5wno2w-CE-20200001911414-569186,2020,,213.600000,DIRECCION DISTRITAL 19D01 NANGARITZA-CENTINELA DEL CONDOR-PAQUISHA-ZAMORA-YACUAMBI-SALUD,Orden de compra CE-20200001911414,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
21901,ocds-5wno2w-CE-20210001983581-569186,2021,,640.800000,DIRECCION DISTRITAL 19D01 NANGARITZA-CENTINELA DEL CONDOR-PAQUISHA-ZAMORA-YACUAMBI-SALUD,Orden de compra CE-20210001983581,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1813527,ocds-5wno2w-CE-20210002119341-569186,2021,,26.700000,DIRECCION DISTRITAL 19D01 ZAMORA-YACUAMBI-SALUD,Orden de compra CE-20210002119341,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1880219,ocds-5wno2w-CE-20220002151941-569186,2022,,536.670000,DIRECCION DISTRITAL 19D01 ZAMORA-YACUAMBI-SALUD,Orden de compra CE-20220002151941,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1918219,ocds-5wno2w-SIE-HGNGC-016-2022-818925,2022,GUAYAS,0.000000,HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS,SIE-HGNGC-016-2022-818925,ADQUISICIÓN DE MEDICAMENTOS: GRUPO A10 (INSULINA GLARGINA LÍQUIDO PARENTERAL) PARA EL HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS
1937747,ocds-5wno2w-SIE-RE-HPGDR-20-2022-14393,2022,CHIMBORAZO,,HOSPITAL PROVINCIAL GENERAL DOCENTE RIOBAMBA,,
1959701,ocds-5wno2w-SIE-HGMACH-013-2022-2763,2022,EL ORO,,HOSPITAL GENERAL MACHALA,,
1971833,ocds-5wno2w-SIE-RE-HPGDR-25-2022-14393,2022,CHIMBORAZO,,HOSPITAL PROVINCIAL GENERAL DOCENTE RIOBAMBA,,
2015653,ocds-5wno2w-SIE-HEJCA-F-160-2022-87497,2022,AZUAY,,HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA,,
2091753,ocds-5wno2w-SIE-HGDC-087-2022-594674,2022,PICHINCHA,,HOSPITAL GENERAL DOCENTE DE CALDERON,SIE-HGDC-087-2022-594674,INSULINA ULTRARÁPIDA (LISPRO) LÍQUIDO PARENTERAL + PLUMA 100 UI PARA ABASTECER EL HOSPITAL GENERAL DOCENTE DE CALDERÓN
2139915,ocds-5wno2w-SIE-HGMYM-076-2022-82169,2022,LOJA,,HOSPITAL GENERAL MANUEL YGNACIO MONTEROS,,
2149296,ocds-5wno2w-RE-HGEG-013-2022-106745,2022,PICHINCHA,,HOSPITAL GENERAL ENRIQUE GARCES,,
2158886,ocds-5wno2w-SIE-HGSF-095-22-390394,2022,PICHINCHA,0.000000,HOSPITAL SAN FRANCISCO DE QUITO,SIE-HGSF-095-22-390394,"ADQUISICIÓN DE MEDICAMENTOS DEL GRUPO H: PREPARADOS HORMONALES SISTÉMICOS, EXCLUYE HORMONAS SEXUALES E INSULINAS PARA EL HOSPITAL GENERAL SAN FRANCISCO"
2146263,ocds-5wno2w-SIE-HBCH-023-2022-89917,2022,MANABI,0.000000,IESS HOSPITAL DE CHONE,SIE-HBCH-023-2022-89917,ADQUISICIÓN DE INSULINAS ACCION RAPIDA Y ACCION INTERMEDIA PARA EL HOSPITAL BÁSICO CHONE
2171420,ocds-5wno2w-SIE-HGMYM-092-2022-82169,2022,LOJA,,HOSPITAL GENERAL MANUEL YGNACIO MONTEROS,,
