id,ocid,year,month,method,internal_type,region,locality,buyer,suppliers,amount,budget,date,title,description
1289250,ocds-5wno2w-CE-20150000091795-54538,2015,1,direct,Catálogo electrónico - Compra directa,ORELLANA,FRANCISCO DE ORELLANA,HOSPITAL FRANCISCO DE ORELLANA,LETERAGO DEL ECUADOR S.A,608.0,608,2015-01-05T00:00:00-05:00,Orden de compra CE-20150000091795,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1290164,ocds-5wno2w-CE-20150000092900-19749,2015,1,direct,Catálogo electrónico - Compra directa,SANTA ELENA,SALINAS,DIRECCION DISTRITAL 24D02-LA LIBERTAD-SALINAS-SALUD,COMERCIOSA S.A.,450.0,450,2015-01-15T00:00:00-05:00,Orden de compra CE-20150000092900,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
1291282,ocds-5wno2w-CE-20150000094325-2443,2015,1,direct,Catálogo electrónico - Compra directa,MANABI,PORTOVIEJO,HOSPITAL PROVINCIAL DR VERDI CEVALLOS PORTOVIEJO (MANABI),COMERCIOSA S.A.,315.0,315,2015-01-19T00:00:00-05:00,Orden de compra CE-20150000094325,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
1290047,ocds-5wno2w-CE-20150000092781-23237,2015,1,direct,Catálogo electrónico - Compra directa,AZUAY,CUENCA,DIRECCION DISTRITAL 01D01 PARROQUIAS URBANAS: MACHANGARA A BELLAVISTA Y PARROQUIAS RURALES: NULTI A SAYAUSI - SALUD,LETERAGO DEL ECUADOR S.A,1824.0,1824,2015-01-15T00:00:00-05:00,Orden de compra CE-20150000092781,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1290228,ocds-5wno2w-CE-20150000092964-19749,2015,1,direct,Catálogo electrónico - Compra directa,SANTA ELENA,SALINAS,DIRECCION DISTRITAL 24D02-LA LIBERTAD-SALINAS-SALUD,LETERAGO DEL ECUADOR S.A,1520.0,1520,2015-01-15T00:00:00-05:00,Orden de compra CE-20150000092964,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1291089,ocds-5wno2w-CE-20150000094053-17885,2015,1,direct,Catálogo electrónico - Compra directa,AZUAY,CUENCA,DIRECCION DISTRITAL 01D02 - PARROQUIAS URBANAS: SAN SEBASTIAN A MONAY Y PARROQUIAS RURALES: BAÑOS A SANTA ANA - SALUD,COMERCIOSA S.A.,45.0,45,2015-01-19T00:00:00-05:00,Orden de compra CE-20150000094053,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
1291657,ocds-5wno2w-CE-20150000094821-129945,2015,1,direct,Catálogo electrónico - Compra directa,GUAYAS,GUAYAQUIL,DIRECCION DISTRITAL 09D03 - GARCIA MORENO A ROCA - SALUD,LETERAGO DEL ECUADOR S.A,304.0,304,2015-01-20T00:00:00-05:00,Orden de compra CE-20150000094821,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1291354,ocds-5wno2w-CE-20150000094397-2443,2015,1,direct,Catálogo electrónico - Compra directa,MANABI,PORTOVIEJO,HOSPITAL PROVINCIAL DR VERDI CEVALLOS PORTOVIEJO (MANABI),LETERAGO DEL ECUADOR S.A,1216.0,1216,2015-01-19T00:00:00-05:00,Orden de compra CE-20150000094397,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1291117,ocds-5wno2w-CE-20150000094082-17885,2015,1,direct,Catálogo electrónico - Compra directa,AZUAY,CUENCA,DIRECCION DISTRITAL 01D02 - PARROQUIAS URBANAS: SAN SEBASTIAN A MONAY Y PARROQUIAS RURALES: BAÑOS A SANTA ANA - SALUD,LETERAGO DEL ECUADOR S.A,401.28,401.28,2015-01-19T00:00:00-05:00,Orden de compra CE-20150000094082,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1291951,ocds-5wno2w-CE-20150000095165-71391,2015,1,direct,Catálogo electrónico - Compra directa,ESMERALDAS,ESMERALDAS,IESS HOSPITAL DE ESMERALDAS,LETERAGO DEL ECUADOR S.A,3398.72,3398.72,2015-01-20T00:00:00-05:00,Orden de compra CE-20150000095165,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1291639,ocds-5wno2w-CE-20150000094803-129945,2015,1,direct,Catálogo electrónico - Compra directa,GUAYAS,GUAYAQUIL,DIRECCION DISTRITAL 09D03 - GARCIA MORENO A ROCA - SALUD,COMERCIOSA S.A.,36.0,36,2015-01-20T00:00:00-05:00,Orden de compra CE-20150000094803,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
1291914,ocds-5wno2w-CE-20150000095128-71391,2015,1,direct,Catálogo electrónico - Compra directa,ESMERALDAS,ESMERALDAS,IESS HOSPITAL DE ESMERALDAS,COMERCIOSA S.A.,576.0,576,2015-01-20T00:00:00-05:00,Orden de compra CE-20150000095128,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
1291765,ocds-5wno2w-CE-20150000094929-67972,2015,1,direct,Catálogo electrónico - Compra directa,PICHINCHA,QUITO,HOSPITAL DE ATENCION INTEGRAL DEL ADULTO MAYOR,LETERAGO DEL ECUADOR S.A,608.0,608,2015-01-20T00:00:00-05:00,Orden de compra CE-20150000094929,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1293650,ocds-5wno2w-CE-20150000097059-8380,2015,1,direct,Catálogo electrónico - Compra directa,CANAR,AZOGUES,HOSPITAL HOMERO CASTANIER CRESPO,COMERCIOSA S.A.,18.0,18,2015-01-21T00:00:00-05:00,Orden de compra CE-20150000097059,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
1291996,ocds-5wno2w-CE-20150000095210-18608,2015,1,direct,Catálogo electrónico - Compra directa,GUAYAS,DAULE,DIRECCION DISTRITAL 09D19 - DAULE - NOBOL - SANTA LUCIA - SALUD,COMERCIOSA S.A.,45.0,45,2015-01-20T00:00:00-05:00,Orden de compra CE-20150000095210,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
1292449,ocds-5wno2w-CE-20150000095677-128990,2015,1,direct,Catálogo electrónico - Compra directa,GUAYAS,PLAYAS,DIRECCION DISTRITAL DE SALUD NO.09D22,LETERAGO DEL ECUADOR S.A,273.6,273.6,2015-01-20T00:00:00-05:00,Orden de compra CE-20150000095677,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1292921,ocds-5wno2w-CE-20150000096197-560078,2015,1,direct,Catálogo electrónico - Compra directa,LOS RIOS,VALENCIA,DIRECCION DISTRITAL 12D06-BUENA FE-VALENCIA-SALUD,LETERAGO DEL ECUADOR S.A,72.96,72.96,2015-01-21T00:00:00-05:00,Orden de compra CE-20150000096197,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1292658,ocds-5wno2w-CE-20150000095899-129990,2015,1,direct,Catálogo electrónico - Compra directa,GUAYAS,EL TRIUNFO,DIRECCION DISTRITAL DE SALUD AREA NO. 09D16,COMERCIOSA S.A.,193.5,193.5,2015-01-21T00:00:00-05:00,Orden de compra CE-20150000095899,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
1293705,ocds-5wno2w-CE-20150000097114-8380,2015,1,direct,Catálogo electrónico - Compra directa,CANAR,AZOGUES,HOSPITAL HOMERO CASTANIER CRESPO,LETERAGO DEL ECUADOR S.A,325.28,325.28,2015-01-21T00:00:00-05:00,Orden de compra CE-20150000097114,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
1292111,ocds-5wno2w-CE-20150000095327-339612,2015,1,direct,Catálogo electrónico - Compra directa,GUAYAS,NARANJAL,DIRECCION DISTRITAL DE SALUD NO.09D12,LETERAGO DEL ECUADOR S.A,760.0,760,2015-01-20T00:00:00-05:00,Orden de compra CE-20150000095327,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
