provincia,year,contratos,monto_total_usd,monto_promedio_usd,compradores_distintos
AZUAY,2015,57,61567.44,1080.13,13
AZUAY,2016,54,120821.19,2237.43,16
AZUAY,2017,36,137635.26,3823.2,16
AZUAY,2018,23,84943.49,3693.2,13
AZUAY,2019,45,109766.37,2439.25,14
AZUAY,2020,42,77755.74,1851.33,16
AZUAY,2021,36,114617.76,3183.83,13
AZUAY,2022,24,118753.68,4948.07,10
AZUAY,2023,10,116532.82,11653.28,5
AZUAY,2024,6,42774.0,7129.0,4
BOLIVAR,2015,12,9466.2,788.85,5
BOLIVAR,2016,11,12287.7,1117.06,5
BOLIVAR,2017,11,17172.96,1561.18,4
BOLIVAR,2018,11,12017.12,1092.47,7
BOLIVAR,2019,13,12346.08,949.7,6
BOLIVAR,2020,10,5473.5,547.35,4
BOLIVAR,2021,17,12586.38,740.38,6
BOLIVAR,2022,8,9379.71,1172.46,5
BOLIVAR,2023,1,12694.5,12694.5,1
BOLIVAR,2024,1,3366.0,3366.0,1
CANAR,2015,29,10493.2,361.83,8
CANAR,2016,29,20687.52,713.36,11
CANAR,2017,21,24607.8,1171.8,9
CANAR,2018,16,20675.04,1292.19,8
CANAR,2019,21,19528.38,929.92,9
CANAR,2020,27,15587.46,577.31,8
CANAR,2021,34,32069.37,943.22,10
CANAR,2022,21,15697.43,747.5,8
CANAR,2023,4,13912.8,3478.2,2
CANAR,2024,2,21183.36,10591.68,2
CARCHI,2015,28,7536.38,269.16,7
CARCHI,2016,21,8814.9,419.76,8
CARCHI,2017,14,17945.76,1281.84,7
CARCHI,2018,8,6478.24,809.78,4
CARCHI,2019,21,13240.53,630.5,7
CARCHI,2020,13,7080.84,544.68,7
CARCHI,2021,21,17152.08,816.77,7
CARCHI,2022,9,4013.01,445.89,5
CARCHI,2023,4,50492.61,12623.15,2
CARCHI,2024,2,2106.0,1053.0,2
CHIMBORAZO,2015,22,30737.9,1397.18,9
CHIMBORAZO,2016,19,49504.72,2605.51,9
CHIMBORAZO,2017,18,40549.02,2252.72,10
CHIMBORAZO,2018,15,56759.95,3784.0,9
CHIMBORAZO,2019,22,50308.14,2286.73,8
CHIMBORAZO,2020,18,31065.45,1725.86,12
CHIMBORAZO,2021,28,53159.7,1898.56,8
CHIMBORAZO,2022,18,121764.5,6764.69,10
CHIMBORAZO,2023,5,122593.8,24518.76,3
CHIMBORAZO,2024,3,55793.2,18597.73,2
COTOPAXI,2015,19,10714.92,563.94,7
COTOPAXI,2016,17,22817.14,1342.18,7
COTOPAXI,2017,10,21943.0,2194.3,6
COTOPAXI,2018,17,20602.08,1211.89,8
COTOPAXI,2019,15,36392.1,2426.14,7
COTOPAXI,2020,14,5948.76,424.91,6
COTOPAXI,2021,19,28179.18,1483.11,6
COTOPAXI,2022,9,18848.6,2094.29,4
COTOPAXI,2023,1,17553.0,17553.0,1
COTOPAXI,2024,4,115318.0,28829.5,1
EL ORO,2015,61,84058.84,1378.01,15
EL ORO,2016,46,104926.1,2281.0,17
EL ORO,2017,30,108768.4,3625.61,14
EL ORO,2018,35,93787.04,2679.63,16
EL ORO,2019,48,137449.03,2863.52,20
EL ORO,2020,37,63564.69,1717.96,17
EL ORO,2021,52,122849.37,2362.49,16
EL ORO,2022,21,74416.8,3543.66,14
EL ORO,2023,3,13025.6,4341.87,2
EL ORO,2024,4,41042.8,10260.7,3
ESMERALDAS,2015,26,32052.42,1232.79,8
ESMERALDAS,2016,19,32589.72,1715.25,10
ESMERALDAS,2017,18,9578.08,532.12,8
ESMERALDAS,2018,19,54774.72,2882.88,9
ESMERALDAS,2019,28,69700.35,2489.3,11
ESMERALDAS,2020,16,21066.3,1316.64,8
ESMERALDAS,2021,18,54932.58,3051.81,8
ESMERALDAS,2022,14,17862.3,1275.88,9
ESMERALDAS,2023,5,90835.3,18167.06,4
