,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Tabla.N°:,1.2 ,,,,,,,,,,,
,Nombre de la tabla:,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer ",,,,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y sexo al nacer",,,,Número total de personas ,Autoidentificación según cultura y costumbres,,,,,,,
,,,,,,Indigena,Afroecuatoriano/a o Afrodescendiente,Negra/o,Mulata/o,Montubia/o,Mestiza/o,Blanca/o,Otro
,,,,,,,,,,,,,
,Total Nacional,Nacional,Nacional,Nacional,"16,938,986","1,302,057","343,426","225,817","245,252","1,305,000","13,122,337","374,930","20,167"
,Total Nacional,Nacional,Nacional,Hombres,"8,252,523","633,328","167,838","114,333","121,837","668,713","6,354,515","180,449","11,510"
,Total Nacional,Nacional,Nacional,Mujeres,"8,686,463","668,729","175,588","111,484","123,415","636,287","6,767,822","194,481","8,657"
,Azuay,Total Azuay,Total Azuay,Total Azuay,"801,609","15,992","2,854","1,385","2,853","3,315","758,909","15,998",303
,Azuay,Total Azuay,Total Azuay,Hombres,"376,419","7,669","1,538",844,"1,511","1,757","355,231","7,698",171
,Azuay,Total Azuay,Total Azuay,Mujeres,"425,190","8,323","1,316",541,"1,342","1,558","403,678","8,300",132
,Azuay,Cuenca,Total Cuenca,Total Cuenca,"596,101","8,740","2,156","1,061","2,175","2,481","565,885","13,315",288
,Azuay,Cuenca,Total Cuenca,Hombres,"281,823","4,343","1,191",674,"1,178","1,330","266,547","6,399",161
,Azuay,Cuenca,Total Cuenca,Mujeres,"314,278","4,397",965,387,997,"1,151","299,338","6,916",127
,Azuay,Cuenca,Cuenca,Total Cuenca,"361,524","5,019","1,505",673,"1,467","1,427","340,120","11,057",256
,Azuay,Cuenca,Cuenca,Hombres,"171,684","2,474",782,385,764,748,"161,069","5,327",135
,Azuay,Cuenca,Cuenca,Mujeres,"189,840","2,545",723,288,703,679,"179,051","5,730",121
,Azuay,Cuenca,Baños,Total Baños,"21,797",345,26,18,27,80,"21,088",209,4
,Azuay,Cuenca,Baños,Hombres,"10,146",167,16,10,13,36,"9,808",93,3
,Azuay,Cuenca,Baños,Mujeres,"11,651",178,10,8,14,44,"11,280",116,1
,Azuay,Cuenca,Cumbe,Total Cumbe,"6,455",127,,,1,18,"6,279",30,
,Azuay,Cuenca,Cumbe,Hombres,"2,864",63,,,,7,"2,780",14,
,Azuay,Cuenca,Cumbe,Mujeres,"3,591",64,,,1,11,"3,499",16,
,Azuay,Cuenca,Chaucha,Total Chaucha,"1,721",2,2,,7,16,"1,683",11,
,Azuay,Cuenca,Chaucha,Hombres,793,1,2,,3,9,776,2,
,Azuay,Cuenca,Chaucha,Mujeres,928,1,,,4,7,907,9,
,Azuay,Cuenca,Checa,Total Checa,"3,204",17,24,,10,14,"3,112",27,
,Azuay,Cuenca,Checa,Hombres,"1,407",11,14,,2,5,"1,363",12,
,Azuay,Cuenca,Checa,Mujeres,"1,797",6,10,,8,9,"1,749",15,
,Azuay,Cuenca,Chiquintad,Total Chiquintad,"5,738",32,24,3,10,21,"5,588",60,
,Azuay,Cuenca,Chiquintad,Hombres,"2,683",17,8,2,6,13,"2,609",28,
,Azuay,Cuenca,Chiquintad,Mujeres,"3,055",15,16,1,4,8,"2,979",32,
,Azuay,Cuenca,Llacao,Total Llacao,"7,468",39,6,3,21,36,"7,275",88,
,Azuay,Cuenca,Llacao,Hombres,"3,527",22,3,1,12,16,"3,425",48,
,Azuay,Cuenca,Llacao,Mujeres,"3,941",17,3,2,9,20,"3,850",40,
,Azuay,Cuenca,Molleturo,Total Molleturo,"6,882",21,5,11,8,55,"6,736",46,
,Azuay,Cuenca,Molleturo,Hombres,"3,303",7,4,8,3,32,"3,225",24,
,Azuay,Cuenca,Molleturo,Mujeres,"3,579",14,1,3,5,23,"3,511",22,
,Azuay,Cuenca,Nulti,Total Nulti,"6,707",41,14,7,6,53,"6,518",68,
,Azuay,Cuenca,Nulti,Hombres,"3,304",20,6,5,3,32,"3,207",31,
,Azuay,Cuenca,Nulti,Mujeres,"3,403",21,8,2,3,21,"3,311",37,
,Azuay,Cuenca,Octavio Cordero Palacios,Total Octavio Cordero Palacios,"2,516",24,,,1,9,"2,469",13,
,Azuay,Cuenca,Octavio Cordero Palacios,Hombres,"1,134",13,,,1,3,"1,110",7,
,Azuay,Cuenca,Octavio Cordero Palacios,Mujeres,"1,382",11,,,,6,"1,359",6,
,Azuay,Cuenca,Paccha,Total Paccha,"8,497",31,15,8,8,26,"8,325",84,
,Azuay,Cuenca,Paccha,Hombres,"3,943",15,5,5,3,12,"3,863",40,
,Azuay,Cuenca,Paccha,Mujeres,"4,554",16,10,3,5,14,"4,462",44,
,Azuay,Cuenca,Quingeo,Total Quingeo,"7,318",123,3,,2,35,"7,113",42,
,Azuay,Cuenca,Quingeo,Hombres,"3,341",63,1,,,18,"3,239",20,
,Azuay,Cuenca,Quingeo,Mujeres,"3,977",60,2,,2,17,"3,874",22,
,Azuay,Cuenca,Ricaurte,Total Ricaurte,"26,919",231,119,15,117,89,"26,057",291,
,Azuay,Cuenca,Ricaurte,Hombres,"12,909",117,63,11,61,44,"12,468",145,
,Azuay,Cuenca,Ricaurte,Mujeres,"14,010",114,56,4,56,45,"13,589",146,
,Azuay,Cuenca,San Joaquín,Total San Joaquín,"10,728",197,24,23,49,46,"10,166",223,
,Azuay,Cuenca,San Joaquín,Hombres,"5,117",88,7,12,34,22,"4,853",101,
,Azuay,Cuenca,San Joaquín,Mujeres,"5,611",109,17,11,15,24,"5,313",122,
,Azuay,Cuenca,Santa Ana,Total Santa Ana,"7,027",15,10,1,5,24,"6,903",69,
,Azuay,Cuenca,Santa Ana,Hombres,"3,216",9,7,1,3,9,"3,154",33,
,Azuay,Cuenca,Santa Ana,Mujeres,"3,811",6,3,,2,15,"3,749",36,
,Azuay,Cuenca,Sayausí,Total Sayausí,"10,352",38,31,17,23,37,"10,080",126,
,Azuay,Cuenca,Sayausí,Hombres,"4,808",17,13,12,14,17,"4,676",59,
,Azuay,Cuenca,Sayausí,Mujeres,"5,544",21,18,5,9,20,"5,404",67,
,Azuay,Cuenca,Sidcay,Total Sidcay,"5,039",18,15,3,1,15,"4,918",69,
,Azuay,Cuenca,Sidcay,Hombres,"2,289",11,7,2,1,7,"2,233",28,
,Azuay,Cuenca,Sidcay,Mujeres,"2,750",7,8,1,,8,"2,685",41,
,Azuay,Cuenca,Sinincay,Total Sinincay,"26,725",210,36,44,36,88,"26,192",119,
,Azuay,Cuenca,Sinincay,Hombres,"12,469",105,18,23,16,52,"12,191",64,
,Azuay,Cuenca,Sinincay,Mujeres,"14,256",105,18,21,20,36,"14,001",55,
,Azuay,Cuenca,Tarqui,Total Tarqui,"14,144",662,3,,16,55,"13,343",59,6
,Azuay,Cuenca,Tarqui,Hombres,"6,551",311,3,,6,27,"6,172",28,4
,Azuay,Cuenca,Tarqui,Mujeres,"7,593",351,,,10,28,"7,171",31,2
,Azuay,Cuenca,Turi,Total Turi,"13,901",365,222,209,210,183,"12,532",165,15
,Azuay,Cuenca,Turi,Hombres,"7,040",273,193,180,159,147,"6,002",71,15
,Azuay,Cuenca,Turi,Mujeres,"6,861",92,29,29,51,36,"6,530",94,
,Azuay,Cuenca,Valle,Total Valle,"34,785",802,71,25,120,112,"33,246",406,3
,Azuay,Cuenca,Valle,Hombres,"16,279",365,38,17,60,52,"15,545",200,2
,Azuay,Cuenca,Valle,Mujeres,"18,506",437,33,8,60,60,"17,701",206,1
,Azuay,Cuenca,Victoria del Portete,Total Victoria del Portete,"6,654",381,1,1,30,42,"6,142",53,4
,Azuay,Cuenca,Victoria del Portete,Hombres,"3,016",174,1,,14,22,"2,779",24,2
,Azuay,Cuenca,Victoria del Portete,Mujeres,"3,638",207,,1,16,20,"3,363",29,2
,Azuay,Girón,Total Girón,Total Girón,"12,182",72,16,15,5,39,"11,815",220,
,Azuay,Girón,Total Girón,Hombres,"5,532",38,10,5,4,21,"5,345",109,
,Azuay,Girón,Total Girón,Mujeres,"6,650",34,6,10,1,18,"6,470",111,
,Azuay,Girón,Girón,Total Girón,"8,441",58,11,10,3,25,"8,216",118,
,Azuay,Girón,Girón,Hombres,"3,814",32,8,4,3,11,"3,699",57,
,Azuay,Girón,Girón,Mujeres,"4,627",26,3,6,,14,"4,517",61,
,Azuay,Girón,La Asunción,Total La Asunción,"2,683",14,5,5,2,11,"2,545",101,
,Azuay,Girón,La Asunción,Hombres,"1,255",6,2,1,1,7,"1,187",51,
,Azuay,Girón,La Asunción,Mujeres,"1,428",8,3,4,1,4,"1,358",50,
,Azuay,Girón,San Gerardo,Total San Gerardo,"1,058",,,,,3,"1,054",1,
,Azuay,Girón,San Gerardo,Hombres,463,,,,,3,459,1,
,Azuay,Girón,San Gerardo,Mujeres,595,,,,,,595,,
,Azuay,Gualaceo,Total Gualaceo,Total Gualaceo,"43,188",611,139,22,87,130,"41,610",587,2
,Azuay,Gualaceo,Total Gualaceo,Hombres,"19,421",269,52,12,42,66,"18,718",261,1
,Azuay,Gualaceo,Total Gualaceo,Mujeres,"23,767",342,87,10,45,64,"22,892",326,1
,Azuay,Gualaceo,Gualaceo,Total Gualaceo,"22,019",342,53,17,74,78,"21,115",339,1
,Azuay,Gualaceo,Gualaceo,Hombres,"10,057",158,21,9,36,40,"9,644",149,
,Azuay,Gualaceo,Gualaceo,Mujeres,"11,962",184,32,8,38,38,"11,471",190,1
,Azuay,Gualaceo,Daniel Córdova Toral,Total Daniel Córdova Toral,"1,552",10,67,,,3,"1,461",11,
,Azuay,Gualaceo,Daniel Córdova Toral,Hombres,686,2,24,,,2,651,7,
,Azuay,Gualaceo,Daniel Córdova Toral,Mujeres,866,8,43,,,1,810,4,
,Azuay,Gualaceo,Jadán,Total Jadán,"4,581",192,2,1,2,13,"4,298",73,
,Azuay,Gualaceo,Jadán,Hombres,"2,051",78,,,1,6,"1,931",35,
