,,,,,,,,,,,
,,,,,,,,,,,
,Tabla N°:,1.2 ,,,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y área de residencia",,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia y área de residencia",,,Número total de personas en viviendas particulares,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,,,
,,,,,,No pobres,,"Total
No pobres",Pobres,,"Total
Pobres"
,,,,,,Sexo al nacer,,,Sexo al nacer,,
,,,,,,Hombres,Mujeres,,Hombres,Mujeres,
,,,,,,,,,,,
,Total Nacional,Nacional,Nacional,Nacional,"16,884,398","4,912,517","5,258,131","10,170,648","3,297,557","3,416,193","6,713,750"
,Total Nacional,Nacional,Nacional,Urbana,"10,653,064","3,742,374","4,025,567","7,767,941","1,393,223","1,491,900","2,885,123"
,Total Nacional,Nacional,Nacional,Rural,"6,231,334","1,170,143","1,232,564","2,402,707","1,904,334","1,924,293","3,828,627"
,Azuay,Total Azuay,Total Azuay,Total Azuay,"799,010","280,234","313,057","593,291","94,490","111,229","205,719"
,Azuay,Total Azuay,Total Azuay,Urbana,"418,975","176,733","196,299","373,032","21,665","24,278","45,943"
,Azuay,Total Azuay,Total Azuay,Rural,"380,035","103,501","116,758","220,259","72,825","86,951","159,776"
,Azuay,Cuenca,Total Cuenca,Total Cuenca,"593,830","225,840","250,245","476,085","54,457","63,288","117,745"
,Azuay,Cuenca,Total Cuenca,Urbana,"360,524","154,269","170,551","324,820","17,007","18,697","35,704"
,Azuay,Cuenca,Total Cuenca,Rural,"233,306","71,571","79,694","151,265","37,450","44,591","82,041"
,Azuay,Cuenca,Cuenca,Total Cuenca,"360,524","154,269","170,551","324,820","17,007","18,697","35,704"
,Azuay,Cuenca,Cuenca,Urbana,"360,524","154,269","170,551","324,820","17,007","18,697","35,704"
,Azuay,Cuenca,Baños,Total Baños,"21,783","7,310","8,281","15,591","2,828","3,364","6,192"
,Azuay,Cuenca,Baños,Rural,"21,783","7,310","8,281","15,591","2,828","3,364","6,192"
,Azuay,Cuenca,Cumbe,Total Cumbe,"6,455","1,272","1,560","2,832","1,592","2,031","3,623"
,Azuay,Cuenca,Cumbe,Rural,"6,455","1,272","1,560","2,832","1,592","2,031","3,623"
,Azuay,Cuenca,Chaucha,Total Chaucha,"1,720",240,300,540,552,628,"1,180"
,Azuay,Cuenca,Chaucha,Rural,"1,720",240,300,540,552,628,"1,180"
,Azuay,Cuenca,Checa,Total Checa,"3,184",939,"1,218","2,157",448,579,"1,027"
,Azuay,Cuenca,Checa,Rural,"3,184",939,"1,218","2,157",448,579,"1,027"
,Azuay,Cuenca,Chiquintad,Total Chiquintad,"5,738","1,839","2,071","3,910",844,984,"1,828"
,Azuay,Cuenca,Chiquintad,Rural,"5,738","1,839","2,071","3,910",844,984,"1,828"
,Azuay,Cuenca,Llacao,Total Llacao,"7,464","2,574","2,861","5,435",952,"1,077","2,029"
,Azuay,Cuenca,Llacao,Rural,"7,464","2,574","2,861","5,435",952,"1,077","2,029"
,Azuay,Cuenca,Molleturo,Total Molleturo,"6,882","1,253","1,283","2,536","2,050","2,296","4,346"
,Azuay,Cuenca,Molleturo,Rural,"6,882","1,253","1,283","2,536","2,050","2,296","4,346"
,Azuay,Cuenca,Nulti,Total Nulti,"6,707","2,486","2,499","4,985",818,904,"1,722"
,Azuay,Cuenca,Nulti,Rural,"6,707","2,486","2,499","4,985",818,904,"1,722"
