,,,,,,,,,
,,,,,,,,,
,Tabla N°:,2.2 ,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y autoidentificación étnica",,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,
,,,,,,,,,
,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y autoidentificación según cultura y costumbres",,,,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,
,,,,,,No pobres,,Pobres,
,,,,,,Sexo al nacer,,Sexo al nacer,
,,,,,,Hombres,Mujeres,Hombres,Mujeres
,,,,,,,,,
,Total Nacional,Nacional,Nacional,Nacional,"16,884,398","4,912,517","5,258,131","3,297,557","3,416,193"
,Total Nacional,Nacional,Nacional,Indígena,"1,295,185","197,316","210,111","430,176","457,582"
,Total Nacional,Nacional,Nacional,Afroecuatoriana/o,"796,677","199,265","210,921","188,641","197,850"
,Total Nacional,Nacional,Nacional,Montubia/o,"1,300,097","193,946","196,634","470,361","439,156"
,Total Nacional,Nacional,Nacional,Mestiza/o,"13,099,144","4,181,229","4,488,146","2,158,502","2,271,267"
,Total Nacional,Nacional,Nacional,Blanca/o,"373,705","134,456","147,481","45,202","46,566"
,Total Nacional,Nacional,Nacional,Otro,"19,590","6,305","4,838","4,675","3,772"
,Azuay,Total Azuay,Total Azuay,Total Azuay,"799,010","280,234","313,057","94,490","111,229"
,Azuay,Total Azuay,Total Azuay,Indígena,"15,738","3,079","3,398","4,371","4,890"
,Azuay,Total Azuay,Total Azuay,Afroecuatoriana/o,"6,486","2,471","2,259",890,866
,Azuay,Total Azuay,Total Azuay,Montubia/o,"3,144","1,156","1,076",454,458
,Azuay,Total Azuay,Total Azuay,Mestiza/o,"757,418","266,808","299,106","87,679","103,825"
,Azuay,Total Azuay,Total Azuay,Blanca/o,"15,938","6,586","7,105","1,075","1,172"
,Azuay,Total Azuay,Total Azuay,Otro,286,134,113,21,18
,Azuay,Cuenca,Total Cuenca,Total Cuenca,"593,830","225,840","250,245","54,457","63,288"
,Azuay,Cuenca,Total Cuenca,Indígena,"8,496","2,410","2,637","1,720","1,729"
,Azuay,Cuenca,Total Cuenca,Afroecuatoriana/o,"4,793","2,041","1,805",476,471
,Azuay,Cuenca,Total Cuenca,Montubia/o,"2,313",922,869,262,260
,Azuay,Cuenca,Total Cuenca,Mestiza/o,"564,690","214,544","238,619","51,405","60,122"
,Azuay,Cuenca,Total Cuenca,Blanca/o,"13,267","5,798","6,206",574,689
,Azuay,Cuenca,Total Cuenca,Otro,271,125,109,20,17
,Azuay,Cuenca,Cuenca,Total Cuenca,"360,524","154,269","170,551","17,007","18,697"
,Azuay,Cuenca,Cuenca,Indígena,"5,004","1,626","1,748",846,784
,Azuay,Cuenca,Cuenca,Afroecuatoriana/o,"3,609","1,608","1,413",297,291
,Azuay,Cuenca,Cuenca,Montubia/o,"1,409",624,572,112,101
,Azuay,Cuenca,Cuenca,Mestiza/o,"339,223","145,325","161,388","15,395","17,115"
,Azuay,Cuenca,Cuenca,Blanca/o,"11,025","4,971","5,326",338,390
,Azuay,Cuenca,Cuenca,Otro,254,115,104,19,16
,Azuay,Cuenca,Baños,Total Baños,"21,783","7,310","8,281","2,828","3,364"
,Azuay,Cuenca,Baños,Indígena,345,60,78,107,100
,Azuay,Cuenca,Baños,Afroecuatoriana/o,71,31,26,8,6
,Azuay,Cuenca,Baños,Montubia/o,80,27,31,9,13
,Azuay,Cuenca,Baños,Mestiza/o,"21,075","7,117","8,055","2,684","3,219"
,Azuay,Cuenca,Baños,Blanca/o,209,73,90,20,26
,Azuay,Cuenca,Baños,Otro,3,2,1,,
,Azuay,Cuenca,Cumbe,Total Cumbe,"6,455","1,272","1,560","1,592","2,031"
