,
,
,
,Pobreza por Necesidades Básicas Insatisfechas
,
Tabla.N°,Contenido
1,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia y área de residencia"
1.1,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón y área de residencia"
1.2,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y área de residencia"
2,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia y autoidentificación étnica"
2.1,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón y autoidentificación étnica"
2.2,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y autoidentificación étnica"
3,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia de residencia y grupos quinquenales de edad"
3.1,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón de residencia y grupos quinquenales de edad"
3.2,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia de residencia y grupos quinquenales de edad"
4,"Población en viviendas particulares por condición de pobreza extrema por NBI y sexo al nacer, según provincia y área de residencia"
4.1,"Población en viviendas particulares por condición de pobreza extrema por NBI y sexo al nacer, según provincia, cantón y área de residencia"
4.2,"Población en viviendas particulares por condición de pobreza extrema por NBI y sexo al nacer, según provincia, cantón, parroquia y área de residencia"
5,"Población en viviendas particulares por condición de pobreza extrema por NBI y sexo al nacer, según provincia y autoidentificación étnica"
5.1,"Población en viviendas particulares por condición de pobreza extrema por NBI y sexo al nacer, según provincia, cantón y autoidentificación étnica"
5.2,"Población en viviendas particulares por condición de pobreza extrema por NBI y sexo al nacer, según provincia, cantón, parroquia y autoidentificación étnica"
6,"Población en viviendas particulares por condición de pobreza extrema por NBI y sexo al nacer, según provincia de residencia y grupos quinquenales de edad"
6.1,"Población en viviendas particulares por condición de pobreza extrema por NBI y sexo al nacer, según provincia, cantón de residencia y grupos quinquenales de edad"
6.2,"Población en viviendas particulares por condición de pobreza extrema por NBI y sexo al nacer, según provincia, cantón, parroquia de residencia y grupos quinquenales de edad"
7,"Población en viviendas particulares por composición del NBI, según provincia y área de residencia"
7.1,"Población en viviendas particulares por composición del NBI, según provincia, cantón y área de residencia"
7.2,"Población en viviendas particulares por composición  del NBI, según provincia, cantón, parroquia y área de residencia"
8,"Hogares por condición de pobreza por NBI, según provincia y área de residencia"
8.1,"Hogares por condición de pobreza por NBI, según provincia, cantón y área de residencia"
8.2,"Hogares por condición de pobreza por NBI según provincia, cantón, parroquia y área de residencia"
9,"Hogares por condición de pobreza extrema por NBI, según provincia y área de residencia"
9.1,"Hogares por condición de pobreza extrema por NBI, según provincia, cantón y área de residencia"
9.2,"Hogares por condición de pobreza extrema por NBI según provincia, cantón, parroquia y área de residencia"
10,"Hogares por composición del NBI, según provincia y área de residencia"
10.1,"Hogares por composición del NBI, según provincia, cantón y área de residencia"
10.2,"Hogares por  composición del NBI según provincia, cantón, parroquia y área de residencia"
