id,ocid,year,month,method,internal_type,region,locality,buyer,suppliers,amount,budget,date,title,description
764284,ocds-5wno2w-CE-20170000715171-568098,2017,1,direct,Catálogo electrónico - Compra directa,GUAYAS,GUAYAQUIL,DIRECCION DISTRITAL 09D08 PASCUALES 2 SALUD,LETERAGO DEL ECUADOR S.A,258.400000,258.4,2017-01-17T00:00:00-05:00,Orden de compra CE-20170000715171,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
764786,ocds-5wno2w-CE-20170000715864-82297,2017,1,direct,Catálogo electrónico - Compra directa,MORONA SANTIAGO,SUCUA,CENTRO DE SALUD B - SUCÚA,LETERAGO DEL ECUADOR S.A,3523.360000,3523.36,2017-01-17T00:00:00-05:00,Orden de compra CE-20170000715864,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
764488,ocds-5wno2w-CE-20170000715446-339612,2017,1,direct,Catálogo electrónico - Compra directa,GUAYAS,NARANJAL,DIRECCION DISTRITAL DE SALUD NO.09D12,COMERCIOSA S.A.,450.000000,450,2017-01-17T00:00:00-05:00,Orden de compra CE-20170000715446,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
764576,ocds-5wno2w-CE-20170000715538-57245,2017,1,direct,Catálogo electrónico - Compra directa,LOS RIOS,VINCES,HOSPITAL NICOLAS COTTO INFANTE,LETERAGO DEL ECUADOR S.A,91.200000,91.2,2017-01-17T00:00:00-05:00,Orden de compra CE-20170000715538,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
766174,ocds-5wno2w-CE-20170000717615-55685,2017,1,direct,Catálogo electrónico - Compra directa,LOJA,MACARA,DIRECCION DISTRITAL 11D07 MACARA SOZORANGA SALUD,LETERAGO DEL ECUADOR S.A,364.800000,364.8,2017-01-18T00:00:00-05:00,Orden de compra CE-20170000717615,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
764912,ocds-5wno2w-CE-20170000716034-104249,2017,1,direct,Catálogo electrónico - Compra directa,EL ORO,PORTOVELO,UNIDAD DE ATENCION AMBULATORIA DE PORTOVELO,COMERCIOSA S.A.,396.000000,396,2017-01-17T00:00:00-05:00,Orden de compra CE-20170000716034,Orden de compra para adquirir los siguientes productos:  Insulina de acción rápida
764506,ocds-5wno2w-CE-20170000715464-339612,2017,1,direct,Catálogo electrónico - Compra directa,GUAYAS,NARANJAL,DIRECCION DISTRITAL DE SALUD NO.09D12,LETERAGO DEL ECUADOR S.A,1489.600000,1489.6,2017-01-17T00:00:00-05:00,Orden de compra CE-20170000715464,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
765044,ocds-5wno2w-CE-20170000716282-23237,2017,1,direct,Catálogo electrónico - Compra directa,AZUAY,CUENCA,DIRECCION DISTRITAL 01D01 PARROQUIAS URBANAS: MACHANGARA A BELLAVISTA Y PARROQUIAS RURALES: NULTI A SAYAUSI - SALUD,LETERAGO DEL ECUADOR S.A,2006.400000,2006.4,2017-01-17T00:00:00-05:00,Orden de compra CE-20170000716282,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
765738,ocds-5wno2w-CE-20170000717102-152128,2017,1,direct,Catálogo electrónico - Compra directa,GUAYAS,EMPALME,DIRECCION DISTRITAL 09D15-EL EMPALME-SALUD,LETERAGO DEL ECUADOR S.A,1520.000000,1520,2017-01-18T00:00:00-05:00,Orden de compra CE-20170000717102,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
764871,ocds-5wno2w-CE-20170000715974-80269,2017,1,direct,Catálogo electrónico - Compra directa,MANABI,JIPIJAPA,CENTRO CLINICO QUIRURGICO AMBULATORIO (HOSPITAL DEL DIA)-JIPIJAPA,LETERAGO DEL ECUADOR S.A,2064.160000,2064.16,2017-01-17T00:00:00-05:00,Orden de compra CE-20170000715974,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
765345,ocds-5wno2w-CE-20170000716611-49178,2017,1,direct,Catálogo electrónico - Compra directa,PICHINCHA,QUITO,DIRECCION DISTRITAL 17D03-EL CONDADO A CALACALI-SALUD,LETERAGO DEL ECUADOR S.A,364.800000,364.8,2017-01-17T00:00:00-05:00,Orden de compra CE-20170000716611,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
765990,ocds-5wno2w-CE-20170000717391-130055,2017,1,direct,Catálogo electrónico - Compra directa,AZUAY,SANTA ISABEL,DIRECCION DISTRITAL 01D03 - GIRON A SANTA ISABEL - SALUD,LETERAGO DEL ECUADOR S.A,1824.000000,1824,2017-01-18T00:00:00-05:00,Orden de compra CE-20170000717391,Orden de compra para adquirir los siguientes productos:  Insulina de acción intermedia (NPH)
