provincia,muertes_diabetes_total,muertes_por_anio,pob_total,tasa_mortalidad_100k,monto_usd_19_24,contratos_19_24,insulina_usd_per_capita,pct_nbi,pct_indigena,cuadrante
SANTA ELENA,1382,230.3,385075.0,358.9,431722.23,59,1.12,47.3,1.2,alta_cobertura
GUAYAS,12555,2092.5,4376301.0,286.9,5975342.91,515,1.37,39.1,1.3,alta_cobertura
EL ORO,1420,236.7,712260.0,199.4,452348.29,165,0.64,36.6,0.5,brecha_critica
ESMERALDAS,1033,172.2,550425.0,187.7,300385.87,85,0.55,63.0,3.4,brecha_critica
LOJA,810,135.0,483773.0,167.4,645760.29,199,1.33,39.4,3.6,alta_cobertura
CARCHI,253,42.2,171776.0,147.3,94085.07,70,0.55,33.4,4.2,brecha_critica
TUNGURAHUA,756,126.0,560955.0,134.8,425941.05,43,0.76,31.6,13.5,alta_cobertura
AZUAY,1032,172.0,799010.0,129.2,580200.37,163,0.73,25.7,2.0,alta_cobertura
CHIMBORAZO,594,99.0,470596.0,126.2,434684.79,94,0.92,42.8,37.9,alta_cobertura
IMBABURA,571,95.2,468517.0,121.9,435004.35,106,0.93,32.7,28.0,alta_cobertura
COTOPAXI,487,81.2,465599.0,104.6,222239.64,62,0.48,48.6,23.7,brecha_critica
PICHINCHA,2978,496.3,3083707.0,96.6,4785849.23,420,1.55,15.9,6.2,alta_cobertura
MORONA SANTIAGO,173,28.8,191813.0,90.2,58563.99,106,0.31,65.4,58.6,baja_presion
ZAMORA CHINCHIPE,91,15.2,110440.0,82.4,35763.59,63,0.32,50.1,18.9,baja_presion
PASTAZA,88,14.7,111532.0,78.9,70815.61,44,0.63,52.9,50.8,baja_presion
NAPO,77,12.8,131082.0,58.7,200623.93,55,1.53,61.7,65.0,sobrecobertura
ORELLANA,98,16.3,181995.0,53.8,29886.45,32,0.16,68.7,37.3,baja_presion
GALAPAGOS,12,2.0,28442.0,42.2,10144.72,35,0.36,31.4,9.3,baja_presion
LOS RIOS,361,60.2,897111.0,40.2,810418.66,90,0.9,61.4,0.7,sobrecobertura
MANABI,630,105.0,1589104.0,39.6,3062320.47,287,1.93,60.1,0.2,sobrecobertura
CANAR,81,13.5,226989.0,35.7,117978.8,109,0.52,39.2,14.7,baja_presion
SANTO DOMINGO DE LOS TSACHILAS,158,26.3,491394.0,32.2,520096.47,66,1.06,46.7,1.4,sobrecobertura
BOLIVAR,42,7.0,198533.0,21.2,55846.17,50,0.28,58.6,29.5,baja_presion
SUCUMBIOS,26,4.3,197969.0,13.1,62176.45,49,0.31,59.2,16.3,baja_presion
